,X,Y,value,,,,,,,,,,,,,,,
372,T4B,T8A,0.445096398,,,,,,,,,,,,,,,
373,T5A,T8A,0.793850936,,,,,,,,,,,,,,,
374,T5B,T8A,0.77873954,,,,,,,,,,,,,,,
375,T6A,T8A,0.79260656,,,,,,,,,,,,,,,
376,T6B,T8A,0.792569174,,,,,,,,,,,,,,,
377,T7A,T8A,0.535211598,,,,,,,,,,,,,,,
378,T7B,T8A,0.535220727,,,,,,,,,,,,,,,
379,T8A,T8A,0,,,,,,,,,,,,,,,
380,T8B,T8A,0.804578651,,,,,,,,,,,,,,,
381,T9A,T8A,0.710396244,,,,,,,,,,,,,,,
382,T9B,T8A,0.789797205,,,,,,,,,,,,,,,
383,T10A,T8A,0.790859869,,,,,,,,,,,,,,,
384,T10B,T8A,0.575681092,,,,,,,,,,,,,,,
385,T11A,T8A,0.792270307,,,,,,,,,,,,,,,
386,T11B,T8A,0.775806508,,,,,,,,,,,,,,,
387,T12A,T8A,0.736742018,,,,,,,,,,,,,,,
388,T12B,T8A,0.716583346,,,,,,,,,,,,,,,
389,T13A,T8A,0.402668942,,,,,,,,,,,,,,,
390,T13B,T8A,0.4539131,,,,,,,,,,,,,,,
391,T1A,T8B,0.6209692,,,,,,,,,,,,,,,
392,T1B,T8B,0.641072663,,,,,,,,,,,,,,,
393,T2A,T8B,0.932538092,,,,,,,,,,,,,,,
394,T2B,T8B,0.845047927,,,,,,,,,,,,,,,
395,T3A,T8B,0.771758211,,,,,,,,,,,,,,,
396,T3B,T8B,0.529927837,,,,,,,,,,,,,,,
397,T4A,T8B,0.85046319,,,,,,,,,,,,,,,
398,T4B,T8B,0.83641185,,,,,,,,,,,,,,,
399,T5A,T8B,0.846981764,,,,,,,,,,,,,,,
400,T5B,T8B,0.84289456,,,,,,,,,,,,,,,
401,T6A,T8B,0.845412655,,,,,,,,,,,,,,,
402,T6B,T8B,0.845413959,,,,,,,,,,,,,,,
403,T7A,T8B,0.899336623,,,,,,,,,,,,,,,
404,T7B,T8B,0.832000348,,,,,,,,,,,,,,,
405,T8A,T8B,0.804578651,,,,,,,,,,,,,,,
406,T8B,T8B,0,,,,,,,,,,,,,,,
407,T9A,T8B,0.833216032,,,,,,,,,,,,,,,
408,T9B,T8B,0.844785359,,,,,,,,,,,,,,,
409,T10A,T8B,0.496883083,,,,,,,,,,,,,,,
